  0  -90  818      896
 179 -60  409      842
 120 -60  501      805
  60 -60  647      784
   0 -60  817      777
 300 -60  987      784
 240 -60 1133      805
 180 -60 1225      842
 179 -30  108      692
 120 -30  305      660
  60 -30  549      642
   0 -30  818      638
 300 -30 1085      642
 240 -30 1329      659
 180 -30 1526      692
 179   0   -0      489
 120   0  239      489
  60   0  518      489
   0   0  818      489
 300   0 1116      489
 240   0 1396      489
 180   0 1635      489
 179  30  108      284
 120  30  305      317
  60  30  549      334
   0  30  818      338
 300  30 1085      334
 240  30 1330      318
 180  30 1525      283
 179  60  409      134
 120  60  501      171
  60  60  647      192
   0  60  818      199
 300  60  987      192
 240  60 1133      172
 180  60 1225      134
   0  90  817       80
